Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gld coalesced,gld uncoalesced,gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,prof trigger 07,prof trigger 06,prof trigger 05,prof trigger 04,tex cache hit,tex cache miss,warp serialize,instructions,divergent branch,branch,prof trigger 03,prof trigger 02,prof trigger 01,prof trigger 00
"Memcpy HtoD [sync]",3407105536,244352,,,,,,,,,,1115136,4563645887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3407705952,212352,,,,,,,,,,1115136,5251356238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",3407921792,2735936,24,24,1,22,22,1,13,3904,0,,,4,79,4,787,4163070442,100,86230779,190592,0,352,191360,1136,2064,64,22,0,0,36736,54976,0,14816,190592,768,98880,16896,0,0,0,0,0,0,486628,563922,0,26752,0,0,0,0
"Memcpy DtoH [sync]",3410743584,242976,,,,,,,,,,1115136,4589490320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3461664559,9952,,,,,,,,,,16384,1646302250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3461740623,9408,,,,,,,,,,16384,1741496598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3461819535,13152,8,8,1,8,8,1,11,544,0,,,5,062,5,062,2133333333,100,134736842,1024,0,6,1024,0,64,8,3,0,0,0,0,0,128,1024,0,1024,96,0,0,0,0,0,0,2354,1620,0,168,0,0,0,0
"Memcpy DtoH [sync]",3461938351,7360,,,,,,,,,,16384,2226086956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3500571785,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3500646825,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3500688201,56288,16,16,1,8,8,1,11,544,0,,,4,655,4,655,4059048660,100,127823691,7424,0,20,7424,0,232,29,10,0,0,0,0,0,464,7424,0,7424,640,0,0,0,0,0,0,13706,9696,0,1040,0,0,0,0
"Memcpy DtoH [sync]",3500816457,17344,,,,,,,,,,65536,3778597785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3541008131,59136,,,,,,,,,,262144,4432900432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3541201475,58432,,,,,,,,,,262144,4486308871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3541263395,331680,32,32,1,8,8,1,11,544,0,,,4,5,4,5,5617709335,100,87230989,58368,0,76,58368,0,912,114,38,0,0,0,0,0,1824,58368,0,58368,4864,0,0,0,0,0,0,89950,69632,0,7600,0,0,0,0
"Memcpy DtoH [sync]",3541685955,57824,,,,,,,,,,262144,4533480907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3585558766,129408,,,,,,,,,,589824,4557863501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3585909966,134368,,,,,,,,,,589824,4389616575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3586047950,1093088,48,48,1,8,8,1,11,544,0,,,4,535,4,535,5735021293,100,59832305,196608,0,172,196608,0,2048,256,86,0,0,0,0,0,4096,196608,0,196608,16512,0,0,0,0,0,0,305142,231872,0,25456,0,0,0,0
"Memcpy DtoH [sync]",3588128814,130720,,,,,,,,,,589824,4512117503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3637914992,223808,,,,,,,,,,1048576,4685158707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3638530032,223744,,,,,,,,,,1048576,4686498855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
